Location,Record count,Missing target count,Missing target percentage,First missing-target date,Last missing-target date,Missing at station start,Missing at station end
Adelaide,3193,103,3.2258,2008-07-05,2017-06-25,0,1
Albany,3040,24,0.7895,2012-11-30,2017-06-20,0,0
Albury,3040,29,0.9539,2008-12-15,2017-03-22,0,0
AliceSprings,3040,9,0.2961,2016-12-23,2017-06-25,0,1
BadgerysCreek,3009,81,2.6919,2009-06-11,2017-01-04,0,0
Ballarat,3040,12,0.3947,2010-03-27,2016-02-08,0,0
Bendigo,3040,6,0.1974,2016-01-08,2017-05-17,0,0
Brisbane,3193,32,1.0022,2008-10-30,2017-04-21,0,0
Cairns,3040,52,1.7105,2012-04-15,2016-12-29,0,0
Canberra,3436,18,0.5239,2010-12-31,2017-03-31,0,0
Cobar,3009,21,0.6979,2009-09-03,2017-01-25,0,0
CoffsHarbour,3009,56,1.8611,2009-03-31,2015-11-28,0,0
Dartmoor,3009,66,2.1934,2009-01-01,2017-02-04,1,0
Darwin,3193,1,0.0313,2017-06-25,2017-06-25,0,1
GoldCoast,3040,60,1.9737,2008-12-09,2017-02-24,0,0
Hobart,3193,5,0.1566,2011-03-28,2015-07-20,0,0
Katherine,1578,19,1.2041,2013-11-28,2017-06-25,0,1
Launceston,3040,12,0.3947,2013-03-20,2017-06-19,0,0
Melbourne,3193,758,23.7394,2011-02-04,2016-04-29,0,0
MelbourneAirport,3009,0,0.0,,,0,0
Mildura,3009,2,0.0665,2013-08-15,2015-01-28,0,0
Moree,3009,155,5.1512,2011-09-08,2016-03-21,0,0
MountGambier,3040,10,0.3289,2016-08-18,2017-06-25,0,1
MountGinini,3040,133,4.375,2009-06-05,2016-09-30,0,0
Newcastle,3039,84,2.7641,2010-10-22,2017-04-08,0,0
Nhil,1578,9,0.5703,2014-03-06,2016-02-03,0,0
NorahHead,3004,75,2.4967,2009-06-10,2016-01-07,0,0
NorfolkIsland,3009,45,1.4955,2011-03-29,2017-05-17,0,0
Nuriootpa,3009,7,0.2326,2009-12-17,2017-06-25,0,1
PearceRAAF,3009,247,8.2087,2009-03-20,2017-06-20,0,0
Penrith,3039,75,2.4679,2008-12-10,2017-05-31,0,0
Perth,3193,0,0.0,,,0,0
PerthAirport,3009,0,0.0,,,0,0
Portland,3009,13,0.432,2010-08-21,2016-12-08,0,0
Richmond,3009,58,1.9276,2009-12-11,2017-03-08,0,0
Sale,3009,9,0.2991,2015-02-09,2017-02-02,0,0
SalmonGums,3001,46,1.5328,2009-02-05,2017-06-08,0,0
Sydney,3344,7,0.2093,2010-06-18,2014-11-28,0,0
SydneyAirport,3009,4,0.1329,2015-11-11,2017-03-22,0,0
Townsville,3040,7,0.2303,2011-02-02,2017-06-22,0,0
Tuggeranong,3039,41,1.3491,2009-06-25,2017-03-29,0,0
Uluru,1578,57,3.6122,2013-03-30,2017-06-25,0,1
WaggaWagga,3009,33,1.0967,2016-05-06,2017-05-27,0,0
Walpole,3006,187,6.2209,2009-02-03,2017-06-11,0,0
Watsonia,3009,10,0.3323,2010-12-03,2017-03-20,0,0
Williamtown,3009,456,15.1545,2009-06-02,2016-12-29,0,0
Witchcliffe,3009,57,1.8943,2009-02-04,2016-11-03,0,0
Wollongong,3040,57,1.875,2008-12-01,2017-06-06,1,0
Woomera,3009,19,0.6314,2010-02-11,2017-06-25,0,1
